pair,signal_time,tag,profit,exit,deep_loser,regime_down_age,regime_up_age,ext_vwap,ext_ema50,bull_sweep_recent,bull_sweep_4h,bear_sweep_recent,bear_sweep_4h,rsi,rsi_4h,rsi_1d,volume_ratio,macdhist,adx
BTC,2025-05-10 23:00:00+00:00,shark_long_1h,-0.06854416457633693,trailing_stop_loss,False,0,75,-2.28,-4.23,True,0.0,True,0.0,69.47,74.67,76.94,3.96,50.35,26.43
ETH,2025-05-12 13:00:00+00:00,shark_long_1h,0.15199760889397004,long_overbought_early,False,0,7,-0.74,-1.9,False,0.0,False,0.0,57.67,67.93,79.88,1.46,1.51,18.27
BTC,2025-05-20 22:00:00+00:00,shark_long_1h,-0.1169971858897852,trailing_stop_loss,False,0,6,-1.16,-1.9,False,0.0,True,0.0,60.18,63.2,69.33,1.06,149.07,17.87
BTC,2025-06-11 12:00:00+00:00,shark_long_1h,-0.061593315045550726,trailing_stop_loss,False,0,19,-0.61,-1.74,True,0.0,False,0.0,55.46,60.96,63.6,3.07,-66.12,23.3
ETH,2025-06-11 12:00:00+00:00,shark_long_1h,-0.1427033821497794,trailing_stop_loss,True,0,18,-1.18,-3.22,False,0.0,False,1.0,65.32,67.26,67.17,2.67,-6.32,29.83
ETH,2025-06-23 16:00:00+00:00,shark_short_1h,-0.3482844441035033,trailing_stop_loss,True,1,0,0.31,1.72,False,0.0,True,1.0,41.77,34.1,33.39,3.1,2.46,29.18
BTC,2025-06-23 16:00:00+00:00,shark_short_1h,-0.19094394131278647,trailing_stop_loss,True,1,0,0.18,1.27,True,0.0,True,0.0,42.86,42.95,38.28,3.44,10.52,19.48
ETH,2025-07-09 12:00:00+00:00,shark_long_1h,0.11466505882895638,long_overbought_early,False,0,6,-2.54,-3.65,False,0.0,False,0.0,69.76,64.51,57.65,3.48,1.54,36.73
ETH,2025-07-10 16:00:00+00:00,shark_long_1h,0.17287239500186635,long_overbought_early,False,0,34,-1.79,-4.29,False,0.0,True,0.0,68.75,74.74,65.06,2.59,-5.16,54.34
BTC,2025-07-13 11:00:00+00:00,shark_long_1h,0.06494017071914075,long_overbought_early,False,0,10,-1.72,-3.09,False,0.0,False,0.0,60.37,72.52,72.67,1.01,21.09,13.02
ETH,2025-07-13 17:00:00+00:00,shark_long_1h,0.25555704192304546,long_target_roi,False,0,7,-1.02,-1.98,False,0.0,True,0.0,61.94,70.88,70.44,1.33,3.43,19.46
BTC,2025-07-17 20:00:00+00:00,shark_long_1h,-0.09402091131626193,trailing_stop_loss,False,0,7,-1.09,-1.1,False,0.0,True,0.0,57.84,56.46,69.43,1.21,106.53,14.43
ETH,2025-08-08 13:00:00+00:00,shark_long_1h,0.1326543104015896,long_overbought_early,False,0,7,-2.74,-4.73,False,0.0,False,0.0,71.79,70.43,65.76,3.35,-2.34,48.62
BTC,2025-08-10 08:00:00+00:00,shark_long_1h,0.08685709298176955,long_overbought_early,False,0,6,-1.54,-2.8,False,0.0,True,1.0,65.0,60.79,53.08,1.37,137.84,32.9
ETH,2025-08-12 12:00:00+00:00,shark_long_1h,0.1432024993173817,long_overbought_early,False,0,13,-2.22,-2.94,True,0.0,True,0.0,68.65,61.35,71.36,4.04,7.46,17.62
BTC,2025-08-12 20:00:00+00:00,shark_long_1h,-0.07795635028415777,trailing_stop_loss,False,0,8,-1.58,-1.46,True,0.0,True,0.0,60.29,57.56,58.53,1.04,143.7,21.88
ETH,2025-08-13 16:00:00+00:00,shark_long_1h,-0.16176272110994414,trailing_stop_loss,True,0,41,-1.33,-3.53,False,0.0,True,1.0,67.36,73.94,77.76,1.35,-8.24,45.49
ETH,2025-08-17 08:00:00+00:00,shark_long_1h,-0.11239012925709253,trailing_stop_loss,False,0,6,-2.84,-1.83,False,0.0,True,0.0,66.11,49.98,65.65,1.94,13.28,19.42
BTC,2025-08-21 15:00:00+00:00,breakdown_short_1h,-0.12253788046002514,trailing_stop_loss,True,13,0,1.6,1.99,True,0.0,False,0.0,37.43,33.42,44.2,1.64,-95.57,32.14
BTC,2025-08-26 13:00:00+00:00,shark_short_1h,-0.14090636012610275,smc_emergency_exit,True,35,0,0.49,1.96,False,0.0,False,0.0,42.73,32.99,38.51,1.62,126.4,42.11
BTC,2025-08-31 10:00:00+00:00,shark_short_1h,-0.07823670328320062,trailing_stop_loss,False,2,0,0.64,1.56,True,0.0,False,0.0,44.57,38.22,38.74,1.62,-23.89,12.65
BTC,2025-09-16 06:00:00+00:00,shark_long_1h,-0.055468942538964346,trailing_stop_loss,False,0,6,-1.42,-0.89,False,0.0,True,0.0,57.99,52.76,56.81,1.19,94.75,15.53
ETH,2025-09-24 13:00:00+00:00,shark_short_1h,0.20066078331147316,smc_oversold_exit,False,7,0,0.43,1.74,False,1.0,False,0.0,41.38,34.39,39.18,1.53,1.28,36.22
BTC,2025-09-28 01:00:00+00:00,shark_short_1h,-0.07955963605429461,trailing_stop_loss,False,1,0,0.33,1.55,False,0.0,True,0.0,45.49,37.45,38.36,1.36,26.16,18.39
ETH,2025-09-28 12:00:00+00:00,shark_short_1h,-0.11551324516800875,trailing_stop_loss,False,5,0,1.34,1.41,True,0.0,False,0.0,38.22,41.34,38.11,2.02,-3.29,11.0
ETH,2026-01-05 09:00:00+00:00,shark_long_1h,-0.08787456839592978,trailing_stop_loss,False,0,7,-0.36,-1.65,False,0.0,False,0.0,57.67,66.78,60.05,1.17,-0.9,23.89
ETH,2026-01-14 16:00:00+00:00,shark_long_1h,-0.13066650541657548,trailing_stop_loss,True,0,6,-1.89,-4.1,True,0.0,True,0.0,71.31,71.08,64.85,2.72,-2.94,56.97
ETH,2026-01-23 14:00:00+00:00,shark_short_1h,0.17445613865795825,smc_rsi_extreme_exit,False,9,0,0.99,2.23,True,0.0,False,0.0,38.75,34.78,39.39,2.98,-1.54,21.76
BTC,2026-01-23 20:00:00+00:00,shark_short_1h,0.16410866855130718,smc_rsi_extreme_exit,False,2,0,0.44,0.38,True,0.0,False,0.0,47.77,45.32,43.5,1.32,66.01,18.14
ETH,2026-02-03 09:00:00+00:00,shark_short_1h,0.37014314135980786,target_25pct_roi,False,10,0,0.92,1.65,True,0.0,False,0.0,42.19,33.65,27.59,1.71,-3.62,26.55
BTC,2026-02-03 14:00:00+00:00,shark_short_1h,0.2578444998324008,target_25pct_roi,False,13,0,1.69,1.76,False,0.0,False,0.0,39.26,37.21,29.21,1.98,-135.92,22.94
BTC,2026-02-04 13:00:00+00:00,breakdown_short_1h,0.26147294580709224,target_25pct_roi,False,36,0,1.13,2.7,False,0.0,False,0.0,37.88,35.41,25.58,1.31,-17.63,31.19
ETH,2026-02-04 13:00:00+00:00,shark_short_1h,0.26508732038820826,target_25pct_roi,False,38,0,0.88,2.19,False,0.0,False,0.0,38.45,35.91,25.22,1.4,-2.69,20.39
BTC,2026-02-07 07:00:00+00:00,shark_short_1h,-0.13727320507952168,fast_timestop,True,1,0,0.58,0.98,False,0.0,True,1.0,44.36,39.36,32.59,1.79,-222.91,31.23
ETH,2026-02-09 08:00:00+00:00,shark_short_1h,0.239953440789623,smc_oversold_exit,False,2,0,1.7,1.08,False,0.0,True,1.0,39.36,45.48,31.41,2.07,-5.76,16.1
BTC,2026-02-10 14:00:00+00:00,shark_short_1h,0.20386963476121311,smc_sm_accumulation_exit,False,16,0,1.52,1.64,True,0.0,False,0.0,38.65,42.27,33.28,3.01,-95.09,24.76
BTC,2026-02-15 13:00:00+00:00,breakdown_short_1h,0.10429443184311811,smc_4h_trend_flip_exit,False,2,0,1.81,0.8,True,0.0,True,1.0,36.81,58.66,37.46,3.2,-158.82,36.61
ETH,2026-02-23 15:00:00+00:00,shark_short_1h,-0.22532123419325842,trailing_stop_loss,True,2,0,0.18,1.92,False,0.0,False,0.0,41.66,39.37,34.27,1.48,4.36,23.21
BTC,2026-02-26 16:00:00+00:00,breakdown_short_1h,-0.05395013391608582,smc_emergency_exit,False,1,0,2.39,0.61,False,0.0,False,0.0,38.12,54.54,42.4,1.62,-269.98,24.51
BTC,2026-02-27 10:00:00+00:00,breakdown_short_1h,0.25087591482112703,target_25pct_roi,False,1,0,1.41,1.15,False,0.0,False,0.0,37.28,56.02,41.43,2.19,-59.76,12.37
